objid,ra,dec,petror90_r,g,r,i,z,subClass,logMass,SFR
1237674650459504728,166.089903021571,0.199715412282794,3.902406,18.55254,17.8076,17.40367,0.04955553,STARFORMING,9.48,0.1
1237674649923158202,167.330325033858,-0.209814264197744,4.488703,18.24374,17.59817,17.20939,0.1397402,STARFORMING,9.99,1.1
1237674648849219684,166.844814740403,-1.07778804355147,5.451375,17.83117,17.21319,16.88082,0.1266858,STARFORMING,9.88,0.4
1237674649386156195,167.029414006788,-0.789239714424291,5.281691,17.66471,17.26045,17.00756,0.03825541,STARFORMING,8.75,0.2
1237648720688054443,166.807457684202,-0.516095065910472,6.900568,17.27588,16.80232,16.50844,0.04804159,STARFORMING,9.2,0.4
1237674650996703343,166.840779661971,0.471936322711624,4.281357,17.47174,16.77573,16.41418,0.04386566,STARFORMING,9.42,0.1
1237648722298798252,166.972610134598,0.74411461533369,4.289489,18.30429,17.51739,17.08657,0.1249735,STARFORMING,10.07,0.5
1237648722299125937,167.776579329782,0.79254911250266,5.47401,18.33763,17.33291,16.85958,0.1551947,STARFORMING,10.57,0.1
1237674650460291250,167.953159947489,0.111486277203117,5.773506,17.34123,16.65158,16.25945,0.09955864,STARFORMING,10.14,1.0
1237648721762517079,168.323786439938,0.296666590230543,5.624986,17.50612,16.7926,16.42647,0.049089,STARFORMING,9.63,0.1
1237648720688775326,168.433732630605,-0.600991350938668,5.645368,17.76221,17.2702,16.941,0.07233746,STARFORMING,9.62,0.8
1237648720688382218,167.555498293333,-0.585923421673233,4.720744,17.92983,17.40563,17.06589,0.09699396,STARFORMING,9.87,1.1
1237648722299125985,167.795987340451,0.765036406210833,5.216267,18.32674,17.59446,17.14992,0.09832358,STARFORMING,10.08,1.3
1237648722299650153,168.991249433165,0.810269931317675,6.859006,16.63115,16.05774,15.69216,0.06904177,STARFORMING,10.09,2.1
1237648721763106994,169.785818231601,0.331611351521134,4.793859,17.53464,17.04471,16.74298,0.09966948,STARFORMING,9.71,0.5
1237674651534753942,169.641711933583,1.01172856358007,9.48243,16.6748,16.16822,15.87074,0.06213417,STARFORMING,9.86,1.2
1237648722300108982,170.056681235078,0.688946326367336,7.372341,18.13887,17.48244,17.03459,0.07340532,STARFORMING,9.71,0.4
1237648720153215076,171.351272939582,-0.960894021577928,5.307301,18.09714,17.60288,17.27166,0.0947919,STARFORMING,9.67,1.0
1237648721226629291,170.630274443898,-0.0171564765882321,15.29503,16.43701,15.82429,15.50123,0.04074237,STARFORMING,9.7,0.4
1237648721226563803,170.483862443463,-0.173730173671974,3.59975,18.68074,18.07875,17.9157,0.2986698,STARFORMING,10.19,16.3
1237648721763369113,170.330439280396,0.222890389878358,3.888461,18.28828,17.53242,17.10319,0.1049807,STARFORMING,9.87,0.3
