objid,ra,dec,petror90_r,g,r,i,z,subClass,logMass,SFR
1237671122695487866,155.099035537185,14.0189693261262,6.375091,18.48414,17.33399,16.81061,0.2119211,AGN,10.93,3.7
1237661068714311868,156.796673148172,12.6069409857279,5.794638,18.19637,17.211,16.76982,0.1427962,AGN,10.49,0.1
1237661068714115224,156.344690187164,12.5397352769488,8.39875,16.26385,15.49072,15.08976,0.03157689,AGN,10.23,0.1
1237664131017408647,159.476164089661,13.1181243117763,6.601322,18.69921,17.60977,17.15084,0.1863385,AGN,10.83,3.3
1237664131017277599,159.255419207833,13.1395932940291,6.695567,17.43477,16.47799,16.01473,0.112847,AGN,10.6,0.5
1237661070326104198,159.392590700059,14.0223722938077,4.093186,17.94735,17.05708,16.58583,0.2060399,AGN,10.98,7.7
1237661070863564941,160.717750898787,14.7173618396679,7.443579,16.74192,15.80423,15.27778,0.06641881,AGN,10.95,0.1
1237664132629070009,161.864562611722,14.5331388212979,6.870016,17.69808,16.86956,16.39153,0.1009312,AGN,10.26,0.8
1237661070864154681,162.020131350564,14.8989728986127,8.862221,16.96846,16.06382,15.61202,0.1320325,AGN,10.77,0.4
1237661070864154697,162.063816283948,14.7380432740313,10.9494,16.12693,15.3078,14.89663,0.03291145,AGN,10.24,0.3
1237664130482372801,163.80699395486,13.0295220754726,8.701693,16.28127,15.3294,14.85389,0.06750805,AGN,11.12,0.2
1237664131019178062,163.658675661334,13.5628852189473,3.037937,17.80017,17.16293,16.85324,0.2063759,AGN,10.33,1.9
1237664132092657791,162.924244040077,14.3408972689789,4.537962,18.41262,17.61277,17.17752,0.09073338,AGN,9.75,0.1
1237664132629987439,163.9475359462,14.8655653355626,21.66675,14.86877,14.06151,13.67074,0.0602566,AGN,11.18,4.5
1237661070865399966,165.079426364745,15.1121463257904,8.222059,18.21148,17.21638,16.67851,0.1328164,AGN,10.52,0.3
1237661069255966885,167.906617385422,14.0217097946321,3.408666,18.4765,17.59774,17.14824,0.1106561,AGN,10.29,1.0
1237664131020685497,167.150773418555,13.717616148364,5.581444,18.00013,17.15427,16.75762,0.131952,AGN,10.29,0.5
1237661068718375048,166.22997727623,13.590472397178,6.801115,18.15085,17.13384,16.63369,0.1723606,AGN,10.86,1.7
1237664132094623757,167.527822377208,14.7178670288017,9.945118,16.30114,15.49153,15.08004,0.06734511,AGN,10.46,0.7
1237661070329512094,167.371758509015,14.8941518874005,13.19608,15.82515,15.13391,14.75707,0.06916421,AGN,10.5,1.4
1237674650461470863,170.649694919522,0.148592434012016,7.598543,17.98017,16.95485,16.43236,0.1003787,AGN,10.84,0.1
1237674650999062715,172.302312645982,0.444673239940826,6.684353,17.72119,16.79799,16.36996,0.1314722,AGN,10.5,0.2
1237648722301288550,172.680927555153,0.701931127386069,4.19695,18.09519,17.33798,16.87774,0.07401329,AGN,9.78,0.3
1237648703511724252,202.59756023721,-0.695372620584617,5.916961,18.24582,17.2726,16.80804,0.1790823,AGN,10.5,0.6
1237648721789649226,230.415087585005,0.266441833106125,7.92731,16.82476,15.89423,15.43504,0.07660513,AGN,10.66,0.1
1237668569858638211,242.212230492987,-0.491358372385601,5.788692,17.40033,16.44349,15.94414,0.07218298,AGN,10.63,0.4
1237648674531574095,242.516845635301,0.363767220681024,5.363199,18.62194,17.73061,17.20406,0.117874,AGN,10.11,0.2
1237656568120017171,330.748009237712,-0.35442283928356,7.451654,17.56676,16.64202,16.21788,0.1050069,AGN,10.69,1.9
1237663785276866742,13.1294493100021,0.91813766600433,5.345117,18.98158,17.76342,17.24526,0.2036471,AGN,10.96,2.8
1237663784740323450,13.8593889555099,0.605947896980723,16.71304,16.33205,15.38133,14.94471,0.08651891,AGN,11.01,0.1
1237666214607323577,18.2478493519184,15.5917424066274,17.23031,16.04769,15.21845,14.78812,0.04068287,AGN,10.2,0.4
1237653651843317927,19.7324974224052,14.4152514592931,3.111239,18.16326,17.24151,16.79357,0.1278162,AGN,10.63,1.7
1237653651843055866,19.125775023612,14.4815412454578,12.40856,16.29092,15.34252,14.88857,0.05978448,AGN,10.96,0.3
1237651251484885221,128.473263115338,50.2493518649475,5.888561,20.13695,18.46621,17.81549,0.3334072,AGN,11.16,0.5
1237674461488021834,137.868346650009,1.9003258432996,3.973802,18.46396,17.54654,17.06372,0.1027838,AGN,10.13,0.2
1237674460951281932,138.182744177514,1.79999941010392,3.442673,18.61675,17.63706,17.20657,0.1858203,AGN,10.49,0.6
