objid,ra,dec,petror90_r,g,r,i,z,subClass,logMass,SFR
1237651250947752061,128.47632351948,49.4719731744712,2.940108,18.42467,18.26359,17.97785,0.07241829,STARBURST,8.72,0.9
1237651212288393331,259.646674307332,56.0571240286168,8.37811,15.97057,15.45311,15.15045,0.02964342,STARBURST,9.93,1.1
1237651190813884555,117.243649181556,38.5982258165508,9.912711,17.38817,16.9682,16.67601,0.06141751,STARBURST,9.14,0.3
1237650797293076712,144.689996776789,0.990749685424077,3.7741,19.18358,18.59452,18.17627,0.1719568,STARBURST,10.05,3.0
1237649962458415200,57.4376090961381,-6.17976319416712,4.546179,17.75873,17.44879,17.13534,0.05624072,STARBURST,8.96,0.8
1237649954406662315,27.0613035883293,14.2742700645429,5.402678,17.69285,17.33167,17.03567,0.07083052,STARBURST,9.17,0.4
1237649919508480164,28.7845340497744,13.3731222927406,6.815952,17.6116,17.27371,17.11777,0.02571971,STARBURST,8.41,0.2
1237648704047415410,199.784437051565,-0.338657873137281,5.546743,17.89337,17.3861,17.06411,0.081264,STARBURST,9.57,0.7
1237648703506022589,189.592755774322,-0.831508196409361,5.268573,17.46653,16.89937,16.44201,0.07608227,STARBURST,9.98,0.8
1237648705651540110,185.09336116072,0.969962970603991,4.768327,17.71243,17.33899,17.04761,0.08504529,STARBURST,9.53,1.2
1237648721226170501,169.587705300611,-0.0865957981623771,8.30822,17.20081,16.80259,16.5234,0.07762039,STARBURST,9.45,1.4
1237648720144105701,150.642214081114,-0.871946536016724,5.13688,17.24627,16.94489,16.70714,0.09410395,STARBURST,9.45,2.9
1237658203971387628,173.621296403833,48.9509936292414,13.14029,16.27554,15.96669,15.80555,0.02816399,STARBURST,9.07,0.7
1237658201275564321,135.480736615948,38.5427560541872,3.246359,18.09309,17.84722,17.5899,0.05923845,STARBURST,8.77,0.5
1237657222559760529,160.384293070397,55.8872616805326,3.016019,18.4432,18.01962,17.70655,0.1456297,STARBURST,9.92,2.9
1237656906349936767,348.270902538205,-0.842252501612446,4.143505,18.1066,17.912,17.65771,0.07106546,STARBURST,8.87,1.0
1237655498663460937,201.485867071587,-2.4954354877188,6.071297,16.50616,16.19036,16.01253,0.02997703,STARBURST,8.95,0.6
1237655474506301795,251.664106496277,38.8629673421246,3.849414,18.50619,17.80064,17.36469,0.1465297,STARBURST,10.32,1.3
1237655472360718549,253.025203847601,34.3843703331967,4.560551,17.70218,17.27735,16.95576,0.05883348,STARBURST,9.37,0.9
1237655130372702255,241.739394476756,50.5417244501758,5.15607,17.29587,17.03796,16.69902,0.07294904,STARBURST,9.48,1.9
1237654954276946324,249.433879958118,47.2404997820752,2.915169,18.68311,18.25918,17.89228,0.1150214,STARBURST,9.77,1.2
1237654879661129821,210.037501403839,4.08078498762974,6.613382,15.47121,15.15005,14.86454,0.04046174,STARBURST,9.77,4.6
1237654627326820529,121.288722169556,37.5296645139874,5.987712,18.00657,17.75958,17.52453,0.03256937,STARBURST,8.47,0.4
1237652948531871865,14.4069815645966,-9.18024913763274,5.440919,17.05133,16.56632,16.24258,0.05655212,STARBURST,9.7,0.9
1237652943175155995,359.70068591915,14.7416433412651,6.266341,17.07059,16.89094,16.7557,0.02735883,STARBURST,8.54,0.6
1237652900744593501,351.840663776859,-9.63666115234383,5.207693,18.13018,17.8186,17.53004,0.08329647,STARBURST,9.1,0.5
1237651252050657577,243.713763206194,49.2976812242162,4.875622,18.03566,17.69969,17.43658,0.05952103,STARBURST,8.84,0.2
1237678617435963595,41.3470835821033,0.838504510990035,3.303045,18.16265,17.50462,17.06452,0.1364553,STARBURST,10.17,0.6
1237678437019222275,46.2042247737419,1.02342646876719,5.429979,18.4404,17.84543,17.47398,0.1549068,STARBURST,10.12,3.6
1237671764787331300,190.832876265524,1.7515200130778,5.521194,17.08717,16.63145,16.318,0.04864671,STARBURST,9.5,1.0
1237666408440594486,355.766844550098,0.248452945792391,6.841754,17.66328,17.2374,16.92543,0.07826698,STARBURST,9.89,1.6
1237666407917420565,27.1274252592855,-0.06289517957083,9.366057,16.34164,15.91651,15.71816,0.01802043,STARBURST,8.8,0.3
1237663784745435197,25.4483902699363,0.524675304011175,3.802716,17.99101,17.2222,16.71771,0.05454822,STARBURST,9.81,0.3
1237663784744845444,24.1738895439784,0.512965535000522,2.516516,18.98985,18.39162,18.03576,0.1555113,STARBURST,9.95,1.4
1237663783140196476,37.7786117101826,-0.826170314715115,4.54732,18.69468,17.94729,17.51861,0.2110719,STARBURST,10.43,3.4
1237663716555292700,9.29797196359345,0.83989446156108,2.832373,19.35238,18.75705,18.38284,0.2083094,STARBURST,9.78,2.1
1237663543697014905,2.32817143331181,0.329001936908535,9.763598,16.81249,16.36425,16.03613,0.06252842,STARBURST,9.66,1.4
1237657190909149347,9.02087940482716,-0.150152935227991,1.83186,19.39856,18.96649,18.61272,0.1687365,STARBURST,9.55,2.0
